                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0948,                 2.8001,                 1.5688,                 0.1508,                0.01766,                0.06434,                0.00986,                 2.8427,                    inf,                 3.7409,               0.070091,              0.0033232,              0.0033232
                      1,                 2.0704,                 2.1874,                 1.5968,                0.37974,                0.43069,                0.42316,                0.18991,                 2.2195,                 3.2003,                 2.0706,               0.040026,              0.0065906,              0.0065906
                      2,                 2.0008,                 1.9702,                 1.5502,                0.33574,                0.37802,                0.35935,                0.14012,                 2.2971,                 4.1502,                 2.1153,              0.0098937,               0.009792,               0.009792
                      3,                 1.9243,                 1.7865,                 1.4737,                0.49402,                0.40154,                0.43422,                0.16729,                 2.1362,                  2.754,                 1.8471,               0.009703,               0.009703,               0.009703
                      4,                  1.864,                 1.6346,                 1.4297,                0.45093,                0.48556,                0.37584,                0.17548,                 2.0034,                 4.7461,                 1.8436,               0.009703,               0.009703,               0.009703
                      5,                 1.8445,                  1.553,                 1.4322,                0.55813,                0.47473,                0.53235,                 0.2368,                  2.021,                 2.5312,                  1.814,               0.009604,               0.009604,               0.009604
                      6,                 1.8282,                 1.5008,                  1.394,                0.46634,                0.53857,                 0.4666,                 0.2184,                 1.8989,                 2.5527,                 1.7161,               0.009505,               0.009505,               0.009505
                      7,                 1.8017,                 1.4645,                 1.3942,                0.63546,                0.55735,                0.60041,                0.27861,                 1.8708,                   2.43,                  1.711,               0.009406,               0.009406,               0.009406
                      8,                 1.7862,                 1.3979,                  1.384,                 0.5884,                0.58434,                0.56124,                0.26594,                 1.8795,                 2.6247,                 1.6911,               0.009307,               0.009307,               0.009307
                      9,                 1.7591,                 1.3423,                 1.3643,                0.54688,                 0.5933,                0.55857,                0.26348,                 1.9585,                 2.3879,                 1.7933,               0.009208,               0.009208,               0.009208
                     10,                 1.7455,                 1.3234,                 1.3674,                0.67995,                0.57439,                0.63594,                0.30322,                 1.8945,                 2.1146,                 1.7005,               0.009109,               0.009109,               0.009109
                     11,                 1.7368,                 1.2884,                 1.3526,                0.62306,                0.61106,                 0.6288,                0.30073,                 1.8461,                 2.1761,                 1.7075,                0.00901,                0.00901,                0.00901
                     12,                 1.7328,                 1.2597,                 1.3453,                0.64865,                0.61539,                0.64462,                0.30371,                 1.8183,                 2.1302,                 1.6377,               0.008911,               0.008911,               0.008911
                     13,                 1.7261,                 1.2549,                 1.3481,                0.58354,                0.67871,                0.60321,                0.28817,                 1.8354,                 2.7985,                 1.6813,               0.008812,               0.008812,               0.008812
                     14,                 1.7214,                 1.2316,                 1.3447,                 0.6578,                0.62099,                0.64086,                0.29384,                 1.9036,                 2.2938,                 1.7069,               0.008713,               0.008713,               0.008713
                     15,                 1.7265,                 1.2165,                 1.3433,                0.67439,                0.62148,                0.64492,                 0.3113,                 1.9028,                 2.3396,                 1.7582,               0.008614,               0.008614,               0.008614
                     16,                 1.7146,                 1.2026,                 1.3378,                0.56481,                0.59222,                0.57468,                0.26392,                 1.9218,                 2.6716,                 1.7751,               0.008515,               0.008515,               0.008515
                     17,                 1.7012,                 1.1998,                 1.3349,                 0.6463,                0.60386,                0.65617,                0.32623,                 1.7791,                 2.1482,                 1.6587,               0.008416,               0.008416,               0.008416
